TransactionID,CustomerID,Date,ProductID,Price_x,Qty,TotalAmount,Product Name,Price_y,StoreName,GroupStore,Type,Age,Gender,Marital Status,Income
TR48742,87,2022-02-01,P5,4200,2,8400,Thai Tea,4200,Prima Kota,Prima,Modern Trade,44,1,Married,"9,57"
TR63499,118,2022-02-01,P1,8800,7,61600,Choco Bar,8800,Priangan,Priangan,Modern Trade,20,1,Single,"3,28"
TR66576,250,2022-02-01,P7,9400,5,47000,Coffee Candy,9400,Bonafid,Gita,General Trade,30,1,Married,"3,96"
TR7826,181,2022-02-01,P1,8800,10,88000,Choco Bar,8800,Prestasi Utama,Prestasi,General Trade,33,1,Married,"9,94"
TR93759,34,2022-02-01,P10,15000,2,30000,Cheese Stick,15000,Gita Ginara,Gita,General Trade,45,0,Married,"6,36"
TR10346,322,2022-03-01,P3,7500,4,30000,Crackers,7500,Gita Ginara,Gita,General Trade,41,0,Married,"20,01"
TR13,285,2022-03-01,P8,16000,1,16000,Oat,16000,Lingga,Lingga,Modern Trade,20,0,Single,0
TR15573,91,2022-03-01,P2,3200,6,19200,Ginger Candy,3200,Buana,Buana,General Trade,59,0,Married,"9,85"
TR21783,78,2022-03-01,P5,4200,5,21000,Thai Tea,4200,Harapan Baru,Harapan Baru,General Trade,41,1,Married,"10,34"
TR25759,218,2022-03-01,P5,4200,4,16800,Thai Tea,4200,Priangan,Priangan,Modern Trade,29,0,Married,"3,52"
TR26782,237,2022-03-01,P10,15000,4,60000,Cheese Stick,15000,Buana Indah,Buana,General Trade,35,1,Married,"8,14"
TR27698,178,2022-03-01,P6,18000,3,54000,Cashew,18000,Sinar Harapan,Harapan Baru,General Trade,43,0,Married,"9,58"
TR31585,144,2022-03-01,P2,3200,3,9600,Ginger Candy,3200,Lingga,Lingga,Modern Trade,34,0,Married,"10,01"
TR36491,117,2022-03-01,P3,7500,4,30000,Crackers,7500,Prestasi Utama,Prestasi,General Trade,45,1,Married,"12,55"
TR36846,159,2022-03-01,P9,10000,2,20000,Yoghurt,10000,Buana Indah,Buana,General Trade,53,1,Married,"13,65"
TR40890,224,2022-03-01,P6,18000,3,54000,Cashew,18000,Priangan,Priangan,Modern Trade,29,0,Married,"3,31"
TR45933,406,2022-03-01,P4,12000,2,24000,Potato Chip,12000,Sinar Harapan,Harapan Baru,General Trade,38,1,Married,"8,64"
TR45980,7,2022-03-01,P3,7500,3,22500,Crackers,7500,Buana Indah,Buana,General Trade,31,0,Married,"4,57"
TR46171,21,2022-03-01,P10,15000,3,45000,Cheese Stick,15000,Harapan Baru,Harapan Baru,General Trade,52,0,Married,"12,72"
TR54686,106,2022-03-01,P2,3200,5,16000,Ginger Candy,3200,Harapan Baru,Harapan Baru,General Trade,24,0,Single,"6,79"
TR74189,202,2022-03-01,P7,9400,3,28200,Coffee Candy,9400,Harapan Baru,Harapan Baru,General Trade,28,0,Married,"4,53"
TR86483,45,2022-03-01,P8,16000,3,48000,Oat,16000,Prestasi Utama,Prestasi,General Trade,53,0,Married,"9,25"
TR9341,202,2022-03-01,P7,9400,5,47000,Coffee Candy,9400,Priangan,Priangan,Modern Trade,28,0,Married,"4,53"
TR14593,311,2022-04-01,P6,18000,4,72000,Cashew,18000,Lingga,Lingga,Modern Trade,61,1,Married,"7,64"
TR14970,136,2022-04-01,P10,15000,1,15000,Cheese Stick,15000,Lingga,Lingga,Modern Trade,28,1,Married,"2,96"
TR2102,23,2022-04-01,P5,4200,4,16800,Thai Tea,4200,Priangan,Priangan,Modern Trade,57,1,Married,"12,56"
TR22313,194,2022-04-01,P2,3200,4,12800,Ginger Candy,3200,Prima Kelapa Dua,Prima,Modern Trade,31,1,Married,"4,33"
TR37381,243,2022-04-01,P10,15000,2,30000,Cheese Stick,15000,Buana Indah,Buana,General Trade,38,0,Married,"3,34"
TR41140,78,2022-04-01,P9,10000,2,20000,Yoghurt,10000,Priangan,Priangan,Modern Trade,41,1,Married,"10,34"
TR45300,351,2022-04-01,P6,18000,4,72000,Cashew,18000,Sinar Harapan,Prestasi,General Trade,45,1,Married,"18,34"
TR48461,117,2022-04-01,P5,4200,2,8400,Thai Tea,4200,Prima Tendean,Prima,Modern Trade,45,1,Married,"12,55"
TR49210,189,2022-04-01,P4,12000,1,12000,Potato Chip,12000,Buana Indah,Buana,General Trade,59,1,Single,"5,15"
TR50516,304,2022-04-01,P10,15000,2,30000,Cheese Stick,15000,Prima Tendean,Prima,Modern Trade,34,0,Single,"8,55"
TR51256,433,2022-04-01,P9,10000,1,10000,Yoghurt,10000,Gita Ginara,Gita,General Trade,48,1,Married,"11,97"
TR57427,157,2022-04-01,P5,4200,3,12600,Thai Tea,4200,Bonafid,Gita,General Trade,44,0,Single,"2,52"
TR64821,117,2022-04-01,P3,7500,1,7500,Crackers,7500,Prima Kelapa Dua,Prima,Modern Trade,45,1,Married,"12,55"
TR68280,36,2022-04-01,P8,16000,1,16000,Oat,16000,Prestasi Utama,Prestasi,General Trade,32,1,Married,"10,4"
TR86686,403,2022-04-01,P5,4200,2,8400,Thai Tea,4200,Prima Tendean,Prima,Modern Trade,30,0,Married,"4,06"
TR88044,62,2022-04-01,P5,4200,5,21000,Thai Tea,4200,Prima Tendean,Prima,Modern Trade,51,1,Married,"13,62"
TR90452,440,2022-04-01,P2,3200,5,16000,Ginger Candy,3200,Sinar Harapan,Prestasi,General Trade,40,0,Married,"3,47"
TR98969,355,2022-04-01,P8,16000,1,16000,Oat,16000,Gita Ginara,Gita,General Trade,19,1,Single,0
TR10602,22,2022-05-01,P5,4200,3,12600,Thai Tea,4200,Sinar Harapan,Prestasi,General Trade,34,0,Single,"9,91"
TR24114,182,2022-05-01,P8,16000,1,16000,Oat,16000,Gita Ginara,Gita,General Trade,44,1,Married,"14,57"
TR35280,167,2022-05-01,P9,10000,1,10000,Yoghurt,10000,Prima Kelapa Dua,Prima,Modern Trade,28,1,Married,"2,91"
TR36079,297,2022-05-01,P5,4200,4,16800,Thai Tea,4200,Sinar Harapan,Prestasi,General Trade,41,1,Married,"12,13"
TR43714,416,2022-05-01,P7,9400,2,18800,Coffee Candy,9400,Buana,Buana,General Trade,27,1,Married,"3,43"
TR46041,7,2022-05-01,P9,10000,5,50000,Yoghurt,10000,Sinar Harapan,Harapan Baru,General Trade,31,0,Married,"4,57"
TR60242,304,2022-05-01,P4,12000,1,12000,Potato Chip,12000,Buana,Buana,General Trade,34,0,Single,"8,55"
TR61100,278,2022-05-01,P8,16000,2,32000,Oat,16000,Prima Kelapa Dua,Prima,Modern Trade,31,1,Married,"9,76"
TR61437,123,2022-05-01,P1,8800,4,35200,Choco Bar,8800,Lingga,Lingga,Modern Trade,34,0,Married,"4,36"
TR84132,22,2022-05-01,P9,10000,7,70000,Yoghurt,10000,Priangan,Priangan,Modern Trade,34,0,Single,"9,91"
TR11638,67,2022-06-01,P2,3200,5,16000,Ginger Candy,3200,Prestasi Utama,Prestasi,General Trade,19,0,Single,0
TR20374,282,2022-06-01,P2,3200,5,16000,Ginger Candy,3200,Prima Kota,Prima,Modern Trade,55,0,Married,"11,38"
TR23183,84,2022-06-01,P4,12000,4,48000,Potato Chip,12000,Lingga,Lingga,Modern Trade,54,0,Married,"18,12"
TR24126,30,2022-06-01,P2,3200,3,9600,Ginger Candy,3200,Prima Kota,Prima,Modern Trade,37,1,Single,"2,26"
TR32850,306,2022-06-01,P2,3200,3,9600,Ginger Candy,3200,Lingga,Lingga,Modern Trade,49,0,Married,"16,52"
TR40523,176,2022-06-01,P3,7500,4,30000,Crackers,7500,Prima Kelapa Dua,Prima,Modern Trade,54,1,Married,"18,32"
TR41572,366,2022-06-01,P6,18000,3,54000,Cashew,18000,Prima Kota,Prima,Modern Trade,18,0,Single,0
TR45142,438,2022-06-01,P10,15000,4,60000,Cheese Stick,15000,Harapan Baru,Harapan Baru,General Trade,36,1,Single,"5,43"
TR73860,71,2022-06-01,P4,12000,4,48000,Potato Chip,12000,Prima Tendean,Prima,Modern Trade,46,0,Married,"12,42"
TR74469,340,2022-06-01,P5,4200,4,16800,Thai Tea,4200,Gita Ginara,Gita,General Trade,41,0,Single,"10,9"
TR77963,116,2022-06-01,P3,7500,2,15000,Crackers,7500,Buana Indah,Buana,General Trade,51,1,Married,"15,77"
TR81478,20,2022-06-01,P5,4200,4,16800,Thai Tea,4200,Sinar Harapan,Harapan Baru,General Trade,43,0,Married,"18,91"
TR83042,102,2022-06-01,P2,3200,6,19200,Ginger Candy,3200,Harapan Baru,Harapan Baru,General Trade,39,0,Married,"6,44"
TR87914,161,2022-06-01,P5,4200,4,16800,Thai Tea,4200,Lingga,Lingga,Modern Trade,41,0,Married,"20,02"
TR92298,266,2022-06-01,P2,3200,6,19200,Ginger Candy,3200,Prima Kelapa Dua,Prima,Modern Trade,72,1,Married,"4,72"
TR95272,84,2022-06-01,P7,9400,3,28200,Coffee Candy,9400,Sinar Harapan,Harapan Baru,General Trade,54,0,Married,"18,12"
TR96723,240,2022-06-01,P5,4200,4,16800,Thai Tea,4200,Priangan,Priangan,Modern Trade,22,1,Single,"3,33"
TR97562,264,2022-06-01,P5,4200,3,12600,Thai Tea,4200,Priangan,Priangan,Modern Trade,21,1,Single,"1,12"
TR22660,43,2022-07-01,P5,4200,3,12600,Thai Tea,4200,Buana,Buana,General Trade,53,0,Married,"16,64"
TR23169,189,2022-07-01,P1,8800,7,61600,Choco Bar,8800,Buana Indah,Buana,General Trade,59,1,Single,"5,15"
TR28506,230,2022-07-01,P9,10000,3,30000,Yoghurt,10000,Prestasi Utama,Prestasi,General Trade,40,1,Married,"4,32"
TR31932,70,2022-07-01,P9,10000,4,40000,Yoghurt,10000,Buana Indah,Buana,General Trade,30,1,Married,"4,42"
TR38873,311,2022-07-01,P2,3200,6,19200,Ginger Candy,3200,Bonafid,Gita,General Trade,61,1,Married,"7,64"
TR43744,233,2022-07-01,P2,3200,6,19200,Ginger Candy,3200,Sinar Harapan,Harapan Baru,General Trade,43,1,Married,"5,69"
TR60853,74,2022-07-01,P2,3200,3,9600,Ginger Candy,3200,Lingga,Lingga,Modern Trade,3,1,Married,"5,09"
TR73336,399,2022-07-01,P8,16000,3,48000,Oat,16000,Harapan Baru,Harapan Baru,General Trade,52,1,Single,"33,77"
TR74427,43,2022-07-01,P8,16000,2,32000,Oat,16000,Prima Kota,Prima,Modern Trade,53,0,Married,"16,64"
TR23772,156,2022-08-01,P10,15000,1,15000,Cheese Stick,15000,Prima Tendean,Prima,Modern Trade,44,0,Married,"3,87"
TR36287,157,2022-08-01,P7,9400,2,18800,Coffee Candy,9400,Prima Kelapa Dua,Prima,Modern Trade,44,0,Single,"2,52"
TR40790,134,2022-08-01,P7,9400,4,37600,Coffee Candy,9400,Sinar Harapan,Harapan Baru,General Trade,50,0,Married,"18,62"
TR4331,335,2022-08-01,P3,7500,3,22500,Crackers,7500,Prestasi Utama,Prestasi,General Trade,29,1,Single,"4,74"
TR43444,240,2022-08-01,P4,12000,5,60000,Potato Chip,12000,Prima Kelapa Dua,Prima,Modern Trade,22,1,Single,"3,33"
TR55617,9,2022-08-01,P7,9400,5,47000,Coffee Candy,9400,Lingga,Lingga,Modern Trade,33,0,Married,"9,92"
TR57273,344,2022-08-01,P4,12000,1,12000,Potato Chip,12000,Harapan Baru,Harapan Baru,General Trade,47,1,Married,"5,63"
TR648,164,2022-08-01,P5,4200,3,12600,Thai Tea,4200,Bonafid,Gita,General Trade,18,1,Single,0
TR65337,12,2022-08-01,P5,4200,3,12600,Thai Tea,4200,Prima Kota,Prima,Modern Trade,2,1,Married,"4,94"
TR6602,211,2022-08-01,P8,16000,2,32000,Oat,16000,Bonafid,Gita,General Trade,29,0,Married,"3,54"
TR67501,85,2022-08-01,P4,12000,3,36000,Potato Chip,12000,Buana,Buana,General Trade,59,1,Married,"7,89"
TR70157,415,2022-08-01,P8,16000,2,32000,Oat,16000,Gita Ginara,Gita,General Trade,44,0,Married,"18,57"
TR84962,55,2022-08-01,P3,7500,5,37500,Crackers,7500,Buana Indah,Buana,General Trade,34,1,Married,"8,44"
TR89167,69,2022-08-01,P1,8800,5,44000,Choco Bar,8800,Harapan Baru,Harapan Baru,General Trade,26,0,Single,"2,84"
TR90471,162,2022-08-01,P3,7500,3,22500,Crackers,7500,Prima Kota,Prima,Modern Trade,49,0,Married,"11,46"
TR14091,307,2022-09-01,P1,8800,5,44000,Choco Bar,8800,Sinar Harapan,Prestasi,General Trade,31,0,Married,"5,22"
TR28270,140,2022-09-01,P2,3200,7,22400,Ginger Candy,3200,Prima Kota,Prima,Modern Trade,54,0,Married,"9,57"
TR48974,170,2022-09-01,P10,15000,1,15000,Cheese Stick,15000,Lingga,Lingga,Modern Trade,36,0,Married,"7,55"
TR52493,354,2022-09-01,P8,16000,1,16000,Oat,16000,Sinar Harapan,Prestasi,General Trade,53,1,Married,"16,94"
TR52613,135,2022-09-01,P5,4200,3,12600,Thai Tea,4200,Lingga,Lingga,Modern Trade,41,0,Married,"3,28"
TR53447,137,2022-09-01,P2,3200,4,12800,Ginger Candy,3200,Bonafid,Gita,General Trade,34,1,Married,"6,36"
TR5513,62,2022-09-01,P4,12000,4,48000,Potato Chip,12000,Prima Kelapa Dua,Prima,Modern Trade,51,1,Married,"13,62"
TR76965,241,2022-09-01,P1,8800,8,70400,Choco Bar,8800,Prima Kota,Prima,Modern Trade,24,1,Single,"0,57"
TR80326,269,2022-09-01,P8,16000,1,16000,Oat,16000,Prima Kelapa Dua,Prima,Modern Trade,39,1,Married,"6,3"
TR858,340,2022-09-01,P8,16000,2,32000,Oat,16000,Priangan,Priangan,Modern Trade,41,0,Single,"10,9"
TR8878,415,2022-09-01,P5,4200,3,12600,Thai Tea,4200,Lingga,Lingga,Modern Trade,44,0,Married,"18,57"
TR89449,178,2022-09-01,P5,4200,2,8400,Thai Tea,4200,Sinar Harapan,Prestasi,General Trade,43,0,Married,"9,58"
TR91332,385,2022-09-01,P9,10000,1,10000,Yoghurt,10000,Harapan Baru,Harapan Baru,General Trade,41,1,Married,"15,84"
TR91669,241,2022-09-01,P5,4200,5,21000,Thai Tea,4200,Prima Kelapa Dua,Prima,Modern Trade,24,1,Single,"0,57"
TR3291,13,2022-10-01,P4,12000,5,60000,Potato Chip,12000,Priangan,Priangan,Modern Trade,23,0,Single,"2,03"
TR45059,17,2022-10-01,P1,8800,6,52800,Choco Bar,8800,Lingga,Lingga,Modern Trade,35,0,Married,"3,14"
TR47932,122,2022-10-01,P7,9400,3,28200,Coffee Candy,9400,Buana Indah,Buana,General Trade,26,1,Single,"0,14"
TR57616,446,2022-10-01,P1,8800,7,61600,Choco Bar,8800,Prima Kelapa Dua,Prima,Modern Trade,57,0,Married,"7,81"
TR59952,321,2022-10-01,P4,12000,5,60000,Potato Chip,12000,Priangan,Priangan,Modern Trade,45,0,Married,"8,03"
TR6445,181,2022-10-01,P3,7500,4,30000,Crackers,7500,Prestasi Utama,Prestasi,General Trade,33,1,Married,"9,94"
TR69307,23,2022-10-01,P8,16000,1,16000,Oat,16000,Prima Tendean,Prima,Modern Trade,57,1,Married,"12,56"
TR69902,108,2022-10-01,P7,9400,2,18800,Coffee Candy,9400,Lingga,Lingga,Modern Trade,25,0,Single,"6,87"
TR7250,49,2022-10-01,P1,8800,7,61600,Choco Bar,8800,Sinar Harapan,Prestasi,General Trade,44,1,Married,"13,48"
TR77811,329,2022-10-01,P10,15000,2,30000,Cheese Stick,15000,Gita Ginara,Gita,General Trade,19,1,Single,0
TR80374,223,2022-10-01,P8,16000,3,48000,Oat,16000,Harapan Baru,Harapan Baru,General Trade,62,1,Single,"5,35"
TR82224,246,2022-10-01,P2,3200,3,9600,Ginger Candy,3200,Prestasi Utama,Prestasi,General Trade,40,1,Single,"21,81"
TR8236,249,2022-10-01,P2,3200,6,19200,Ginger Candy,3200,Buana Indah,Buana,General Trade,47,0,Married,"13,34"
TR8369,64,2022-10-01,P3,7500,1,7500,Crackers,7500,Gita Ginara,Gita,General Trade,48,1,Married,"7,92"
TR86436,26,2022-10-01,P10,15000,1,15000,Cheese Stick,15000,Priangan,Priangan,Modern Trade,45,1,Married,"7,83"
TR88217,442,2022-10-01,P9,10000,1,10000,Yoghurt,10000,Sinar Harapan,Harapan Baru,General Trade,42,1,Married,"14,88"
TR95284,229,2022-10-01,P2,3200,3,9600,Ginger Candy,3200,Prima Kelapa Dua,Prima,Modern Trade,32,0,Married,"10,17"
TR18566,8,2022-11-01,P3,7500,3,22500,Crackers,7500,Sinar Harapan,Harapan Baru,General Trade,37,1,Married,"5,49"
TR23232,168,2022-11-01,P2,3200,6,19200,Ginger Candy,3200,Prima Tendean,Prima,Modern Trade,27,0,Married,"4,88"
TR36166,256,2022-11-01,P10,15000,5,75000,Cheese Stick,15000,Prestasi Utama,Prestasi,General Trade,56,0,Married,"7,09"
TR36685,196,2022-11-01,P2,3200,6,19200,Ginger Candy,3200,Prima Kelapa Dua,Prima,Modern Trade,34,0,Married,"3,17"
TR40960,394,2022-11-01,P6,18000,1,18000,Cashew,18000,Gita Ginara,Gita,General Trade,50,0,Married,"7,19"
TR47732,329,2022-11-01,P2,3200,6,19200,Ginger Candy,3200,Gita Ginara,Gita,General Trade,19,1,Single,0
TR57918,72,2022-11-01,P4,12000,5,60000,Potato Chip,12000,Lingga,Lingga,Modern Trade,26,0,Single,"1,81"
TR59286,278,2022-11-01,P7,9400,6,56400,Coffee Candy,9400,Sinar Harapan,Harapan Baru,General Trade,31,1,Married,"9,76"
TR63021,393,2022-11-01,P8,16000,1,16000,Oat,16000,Prestasi Utama,Prestasi,General Trade,22,0,Single,0
TR64748,232,2022-11-01,P5,4200,4,16800,Thai Tea,4200,Lingga,Lingga,Modern Trade,62,0,Married,"7,32"
TR6627,339,2022-11-01,P9,10000,6,60000,Yoghurt,10000,Harapan Baru,Harapan Baru,General Trade,22,0,Single,"2,19"
TR71791,295,2022-11-01,P7,9400,5,47000,Coffee Candy,9400,Prima Kota,Prima,Modern Trade,34,0,Married,"4,78"
TR75052,151,2022-11-01,P3,7500,1,7500,Crackers,7500,Prima Kelapa Dua,Prima,Modern Trade,42,0,Married,"10,38"
TR76046,16,2022-11-01,P8,16000,2,32000,Oat,16000,Prima Tendean,Prima,Modern Trade,52,0,Married,"11,8"
TR84499,312,2022-11-01,P3,7500,3,22500,Crackers,7500,Prima Kelapa Dua,Prima,Modern Trade,54,0,Married,"18,77"
TR85582,145,2022-11-01,P5,4200,4,16800,Thai Tea,4200,Priangan,Priangan,Modern Trade,37,0,Single,"14,59"
TR93692,244,2022-11-01,P5,4200,5,21000,Thai Tea,4200,Harapan Baru,Harapan Baru,General Trade,21,1,Single,"3,64"
TR94450,213,2022-11-01,P3,7500,6,45000,Crackers,7500,Gita Ginara,Gita,General Trade,24,1,Single,"5,72"
TR24515,347,2022-12-01,P10,15000,2,30000,Cheese Stick,15000,Buana Indah,Buana,General Trade,26,1,Single,"3,69"
TR24817,287,2022-12-01,P3,7500,1,7500,Crackers,7500,Sinar Harapan,Harapan Baru,General Trade,36,0,Single,"3,7"
TR25833,135,2022-12-01,P2,3200,4,12800,Ginger Candy,3200,Bonafid,Gita,General Trade,41,0,Married,"3,28"
TR28633,201,2022-12-01,P9,10000,6,60000,Yoghurt,10000,Prima Kelapa Dua,Prima,Modern Trade,57,0,Married,"6,87"
TR39671,52,2022-12-01,P10,15000,2,30000,Cheese Stick,15000,Buana Indah,Buana,General Trade,37,0,Married,"3,73"
TR4401,342,2022-12-01,P4,12000,5,60000,Potato Chip,12000,Prima Kota,Prima,Modern Trade,48,1,Married,"13,55"
TR49649,154,2022-12-01,P10,15000,1,15000,Cheese Stick,15000,Harapan Baru,Harapan Baru,General Trade,31,0,Married,"8,36"
TR69772,112,2022-12-01,P8,16000,1,16000,Oat,16000,Bonafid,Gita,General Trade,31,1,Married,"4,44"
TR76028,301,2022-12-01,P1,8800,8,70400,Choco Bar,8800,Gita Ginara,Gita,General Trade,60,0,Married,"8,97"
TR9420,28,2022-12-01,P8,16000,3,48000,Oat,16000,Lingga,Lingga,Modern Trade,55,0,Married,"6,08"
TR94326,167,2022-12-01,P9,10000,2,20000,Yoghurt,10000,Buana,Buana,General Trade,28,1,Married,"2,91"
TR17988,112,2022-01-13,P6,18000,1,18000,Cashew,18000,Prima Kelapa Dua,Prima,Modern Trade,31,1,Married,"4,44"
TR23621,156,2022-01-13,P7,9400,2,18800,Coffee Candy,9400,Lingga,Lingga,Modern Trade,44,0,Married,"3,87"
TR31421,427,2022-01-13,P6,18000,3,54000,Cashew,18000,Prima Kelapa Dua,Prima,Modern Trade,54,0,Married,"16,88"
TR33225,286,2022-01-13,P1,8800,3,26400,Choco Bar,8800,Gita Ginara,Gita,General Trade,60,0,Married,"6,19"
TR37826,149,2022-01-13,P7,9400,6,56400,Coffee Candy,9400,Lingga,Lingga,Modern Trade,61,1,Married,"3,96"
TR48412,275,2022-01-13,P4,12000,2,24000,Potato Chip,12000,Prima Kota,Prima,Modern Trade,41,0,Married,"15,33"
TR61271,442,2022-01-13,P1,8800,3,26400,Choco Bar,8800,Prestasi Utama,Prestasi,General Trade,42,1,Married,"14,88"
TR75546,34,2022-01-13,P5,4200,4,16800,Thai Tea,4200,Lingga,Lingga,Modern Trade,45,0,Married,"6,36"
TR83152,420,2022-01-13,P10,15000,1,15000,Cheese Stick,15000,Harapan Baru,Harapan Baru,General Trade,48,1,Single,"6,01"
TR97807,324,2022-01-13,P6,18000,3,54000,Cashew,18000,Prestasi Utama,Prestasi,General Trade,36,1,Married,"10,59"
TR16701,426,2022-01-14,P4,12000,1,12000,Potato Chip,12000,Priangan,Priangan,Modern Trade,19,0,Single,"2,16"
TR19443,295,2022-01-14,P9,10000,6,60000,Yoghurt,10000,Prima Kelapa Dua,Prima,Modern Trade,34,0,Married,"4,78"
TR22474,231,2022-01-14,P3,7500,2,15000,Crackers,7500,Sinar Harapan,Harapan Baru,General Trade,51,1,Married,"16,59"
TR43117,267,2022-01-14,P10,15000,4,60000,Cheese Stick,15000,Prima Tendean,Prima,Modern Trade,22,0,Single,0
TR63072,210,2022-01-14,P7,9400,5,47000,Coffee Candy,9400,Prima Kota,Prima,Modern Trade,33,0,Married,"10,9"
TR68172,131,2022-01-14,P5,4200,5,21000,Thai Tea,4200,Priangan,Priangan,Modern Trade,25,0,Single,"7,12"
TR82815,206,2022-01-14,P7,9400,3,28200,Coffee Candy,9400,Lingga,Lingga,Modern Trade,68,0,Married,"8,3"
TR88153,303,2022-01-14,P5,4200,3,12600,Thai Tea,4200,Prima Tendean,Prima,Modern Trade,45,0,Married,"10,34"
TR94606,329,2022-01-14,P10,15000,2,30000,Cheese Stick,15000,Buana,Buana,General Trade,19,1,Single,0
TR11326,433,2022-01-15,P9,10000,2,20000,Yoghurt,10000,Sinar Harapan,Prestasi,General Trade,48,1,Married,"11,97"
TR13287,2,2022-01-15,P5,4200,2,8400,Thai Tea,4200,Lingga,Lingga,Modern Trade,60,1,Married,"6,23"
TR14344,300,2022-01-15,P7,9400,2,18800,Coffee Candy,9400,Gita Ginara,Gita,General Trade,25,1,Single,"4,22"
TR1445,171,2022-01-15,P5,4200,3,12600,Thai Tea,4200,Buana,Buana,General Trade,40,0,Married,"10,05"
TR16248,130,2022-01-15,P2,3200,7,22400,Ginger Candy,3200,Harapan Baru,Harapan Baru,General Trade,40,0,Married,"9,73"
TR21056,62,2022-01-15,P8,16000,3,48000,Oat,16000,Bonafid,Gita,General Trade,51,1,Married,"13,62"
TR30914,241,2022-01-15,P3,7500,5,37500,Crackers,7500,Prima Kelapa Dua,Prima,Modern Trade,24,1,Single,"0,57"
TR32340,121,2022-01-15,P5,4200,3,12600,Thai Tea,4200,Gita Ginara,Gita,General Trade,26,0,Single,"2,93"
TR33508,234,2022-01-15,P4,12000,5,60000,Potato Chip,12000,Sinar Harapan,Harapan Baru,General Trade,61,1,Married,"10,86"
TR34660,85,2022-01-15,P10,15000,5,75000,Cheese Stick,15000,Prima Kelapa Dua,Prima,Modern Trade,59,1,Married,"7,89"
TR37177,93,2022-01-15,P5,4200,3,12600,Thai Tea,4200,Sinar Harapan,Harapan Baru,General Trade,32,0,Married,"4,85"
TR37379,48,2022-01-15,P10,15000,5,75000,Cheese Stick,15000,Prima Kelapa Dua,Prima,Modern Trade,32,0,Married,"10,62"
TR38169,444,2022-01-15,P4,12000,1,12000,Potato Chip,12000,Lingga,Lingga,Modern Trade,53,0,Married,"15,31"
